2020-01-21 14:06:48,255 --- [Space]
2020-01-21 14:06:48,480 --- T
2020-01-21 14:06:48,520 --- H
2020-01-21 14:06:48,736 --- E
2020-01-21 14:06:48,784 --- [Space]
2020-01-21 14:06:49,528 --- A
2020-01-21 14:06:49,680 --- C
2020-01-21 14:06:49,903 --- T
2020-01-21 14:06:50,175 --- I
2020-01-21 14:06:51,080 --- V
2020-01-21 14:06:51,359 --- I
2020-01-21 14:06:51,560 --- T
2020-01-21 14:06:51,671 --- I
2020-01-21 14:06:51,807 --- E
2020-01-21 14:06:51,999 --- S
2020-01-21 14:06:52,896 --- [Return]
2020-01-21 14:06:56,904 --- [Lshift]
2020-01-21 14:06:57,008 --- I
2020-01-21 14:06:57,504 --- [Space]
2020-01-21 14:06:57,735 --- G
2020-01-21 14:06:57,983 --- E
2020-01-21 14:06:58,376 --- [Back]
2020-01-21 14:07:17,168 --- U
2020-01-21 14:07:17,279 --- E
2020-01-21 14:07:17,448 --- S
2020-01-21 14:07:17,591 --- S
2020-01-21 14:07:17,687 --- [Space]
2020-01-21 14:07:17,791 --- N
2020-01-21 14:07:17,888 --- O
2020-01-21 14:07:18,007 --- T
2020-01-21 14:07:18,384 --- [Lshift]
2020-01-21 14:07:18,799 --- ?
2020-01-21 14:07:18,919 --- ?
2020-01-21 14:07:20,312 --- [Return]
2020-01-21 14:07:23,208 --- A
2020-01-21 14:07:23,536 --- P
2020-01-21 14:07:23,672 --- P
2020-01-21 14:07:23,768 --- L
2020-01-21 14:07:23,888 --- E
2020-01-21 14:07:23,968 --- [Space]
2020-01-21 14:07:24,096 --- P
2020-01-21 14:07:24,287 --- I
2020-01-21 14:07:24,416 --- C
2020-01-21 14:07:24,488 --- K
2020-01-21 14:07:24,655 --- I
2020-01-21 14:07:24,735 --- N
2020-01-21 14:07:24,792 --- G
2020-01-21 14:07:24,943 --- <
2020-01-21 14:07:25,064 --- [Space]
2020-01-21 14:07:25,304 --- P
2020-01-21 14:07:25,543 --- U
2020-01-21 14:07:25,736 --- M
2020-01-21 14:07:25,928 --- P
2020-01-21 14:07:26,152 --- L
2020-01-21 14:07:26,391 --- I
2020-01-21 14:07:26,784 --- [Back]
2020-01-21 14:07:26,912 --- [Back]
2020-01-21 14:07:27,112 --- K
2020-01-21 14:07:27,335 --- I
